"","Subject","trial","dog_ID","sex","birthdate","test_date","age","breed","transparent_screen","tunnel_right_side","looking_direction","start_experience_phase","manipulation_check_times","Approach_transparent_screen_first","Help_introduction","notes","transparent_side","looking_condition","duration_opaque","duration_transparent","gaze_congruent_look","total_looking_time","prop_duration_congruent_look"
"1","Anthony",1,"23","M","17/09/2013","14/01/2022",99,"English Setter","blue","yellow","L","R",1,1,"no help","","left","transparent",4.8,2.216666667,2.216666667,7.016666667,0.315914489343662
"2","Anthony",2,"23","M","17/09/2013","14/01/2022",99,"English Setter","blue","yellow","R","R",1,1,"no help","","left","opaque",0,4.683333334,0,4.683333334,0
"3","Anthony",3,"23","M","17/09/2013","14/01/2022",99,"English Setter","blue","yellow","L","R",1,1,"no help","","left","transparent",0,9.25,9.25,9.25,1
"4","Anthony",4,"23","M","17/09/2013","14/01/2022",99,"English Setter","blue","yellow","R","R",1,1,"no help","","left","opaque",3.633333334,0,3.633333334,3.633333334,1
"5","Crash",1,"24","M","05/03/2018","14/01/2022",46,"Australian Shepherd","yellow","yellow","L","L",1,1,"help","","right","opaque",0.133333333,0.516666667,0.133333333,0.65,0.205128204615385
"6","Crash",2,"24","M","05/03/2018","14/01/2022",46,"Australian Shepherd","yellow","yellow","R","L",1,1,"help","","right","transparent",0,1.1,1.1,1.1,1
"7","Crash",3,"24","M","05/03/2018","14/01/2022",46,"Australian Shepherd","yellow","yellow","L","L",1,1,"help","","right","opaque",0.4,2.4,0.4,2.8,0.142857142857143
"8","Crash",4,"24","M","05/03/2018","14/01/2022",46,"Australian Shepherd","yellow","yellow","R","L",1,1,"help","","right","transparent",0,0.616666667,0.616666667,0.616666667,1
"9","Daytona",1,"26/33","F","08/05/2019","18/01/2022",32,"Australian Shepherd","yellow","blue","R","L",1,1,"help","owner pushes dog forward when released during 4th trial ","left","opaque",2.833333333,1.716666667,2.833333333,4.55,0.622710622637363
"10","Daytona",2,"26/33","F","08/05/2019","18/01/2022",32,"Australian Shepherd","yellow","blue","L","L",1,1,"help","","left","transparent",2.35,2.883333333,2.883333333,5.233333333,0.550955413984137
"11","Daytona",3,"26/33","F","08/05/2019","18/01/2022",32,"Australian Shepherd","yellow","blue","L","L",1,1,"help","","left","transparent",0.883333333,1.133333333,1.133333333,2.016666666,0.561983471094871
"12","Daytona",4,"26/33","F","08/05/2019","18/01/2022",32,"Australian Shepherd","yellow","blue","R","L",1,1,"help","","left","opaque",1.733333333,1.266666667,1.733333333,3,0.577777777666667
"13","Dunni",1,"16","F","21/02/2021","25/11/2021",9,"Miniature Pinscher ","yellow","yellow","L","R",1,1,"no help ","","right","opaque",8.3,0.633333333,8.3,8.933333333,0.929104477646608
"14","Dunni",2,"16","F","21/02/2021","25/11/2021",9,"Miniature Pinscher ","yellow","yellow","R","R",1,1,"no help ","","right","transparent",4.05,8.266666666,8.266666666,12.316666666,0.671177266558656
"15","Dunni",3,"16","F","21/02/2021","25/11/2021",9,"Miniature Pinscher ","yellow","yellow","R","R",1,1,"no help ","","right","transparent",4.816666666,1.283333334,1.283333334,6.1,0.210382513770492
"16","Dunni",4,"16","F","21/02/2021","25/11/2021",9,"Miniature Pinscher ","yellow","yellow","L","R",1,1,"no help ","","right","opaque",5.333333333,2.116666666,5.333333333,7.449999999,0.715883668955152
"17","Elvis3",1,"15","M","05/09/2020","21/11/2021",14,"Labrador Retriever","blue","yellow","L","L",2,1,"help","","left","transparent",0.35,9.233333333,9.233333333,9.583333333,0.963478260868295
"18","Elvis3",2,"15","M","05/09/2020","21/11/2021",14,"Labrador Retriever","blue","yellow","R","L",2,1,"help","","left","opaque",0.45,4.65,0.45,5.1,0.0882352941176471
"19","Elvis3",3,"15","M","05/09/2020","21/11/2021",14,"Labrador Retriever","blue","yellow","R","L",2,1,"help","","left","opaque",4.5,2.1,4.5,6.6,0.681818181818182
"20","Elvis3",4,"15","M","05/09/2020","21/11/2021",14,"Labrador Retriever","blue","yellow","L","L",2,1,"help","","left","transparent",0.233333333,9.016666667,9.016666667,9.25,0.974774774810811
"21","Flamme",1,"27","M","09/05/2008","25/11/2021",162,"Pyrenean Sheepdog - smooth faced","blue","yellow","R","R",1,1,"no help","","left","opaque",5.933333333,0.333333333,5.933333333,6.266666666,0.946808510685831
"22","Flamme",2,"27","M","09/05/2008","25/11/2021",162,"Pyrenean Sheepdog - smooth faced","blue","yellow","L","R",1,1,"no help","","left","transparent",3.716666667,5.9,5.9,9.616666667,0.613518197552391
"23","Flamme",3,"27","M","09/05/2008","25/11/2021",162,"Pyrenean Sheepdog - smooth faced","blue","yellow","L","R",1,1,"no help","","left","transparent",2.533333333,1.466666667,1.466666667,4,0.36666666675
"24","Flamme",4,"27","M","09/05/2008","25/11/2021",162,"Pyrenean Sheepdog - smooth faced","blue","yellow","R","R",1,1,"no help","","left","opaque",5.533333333,0,5.533333333,5.533333333,1
"25","Flecki",1,"29","F","19/11/2007","02/12/2021",168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)","blue","blue","L","R",1,1,"help","Special food. Deaf ","right","opaque",2.95,4.133333334,2.95,7.083333334,0.416470588196097
"26","Flecki",2,"29","F","19/11/2007","02/12/2021",168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)","blue","blue","R","R",1,1,"help","","right","transparent",2.25,0,0,2.25,0
"27","Flecki",3,"29","F","19/11/2007","02/12/2021",168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)","blue","blue","R","R",1,1,"help","","right","transparent",0,9.616666667,9.616666667,9.616666667,1
"28","Flecki",4,"29","F","19/11/2007","02/12/2021",168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)","blue","blue","L","R",1,1,"help","","right","opaque",4.8,2.166666667,4.8,6.966666667,0.688995215278038
"29","Io",1,"9","F","21/06/2020","19/11/2021",16,"Whippet","blue","blue","R","L",1,1,"no help ","Tried to escape from the owner during the second trial ","right","transparent",0.8,4.699999999,4.699999999,5.499999999,0.854545454519008
"30","Io",2,"9","F","21/06/2020","19/11/2021",16,"Whippet","blue","blue","L","L",1,1,"no help ","","right","opaque",4.366666667,4.1,4.366666667,8.466666667,0.515748031515128
"31","Io",3,"9","F","21/06/2020","19/11/2021",16,"Whippet","blue","blue","L","L",1,1,"no help ","","right","opaque",3.516666667,3.483333333,3.516666667,7,0.502380952428571
"32","Io",4,"9","F","21/06/2020","19/11/2021",16,"Whippet","blue","blue","R","L",1,1,"no help ","","right","transparent",2.683333333,2.716666667,2.716666667,5.4,0.503086419814815
"33","Jasper",1,"18","M","25/02/2010","24/11/2021",140,"Labradoodle","yellow","blue","R","R",1,0,"help","Sounds in the room next door during trial 3","left","opaque",5.683333333,3.583333333,5.683333333,9.266666666,0.613309352526137
"34","Jasper",2,"18","M","25/02/2010","24/11/2021",140,"Labradoodle","yellow","blue","L","R",1,0,"help","","left","transparent",1.283333333,0.85,0.85,2.133333333,0.398437500062256
"35","Jasper",3,"18","M","25/02/2010","24/11/2021",140,"Labradoodle","yellow","blue","R","R",1,0,"help","","left","opaque",3.416666667,0,3.416666667,3.416666667,1
"36","Jasper",4,"18","M","25/02/2010","24/11/2021",140,"Labradoodle","yellow","blue","L","R",1,0,"help","","left","transparent",0,0.783333333,0.783333333,0.783333333,1
"37","JellyBean",1,"14","F","17/08/2013","17/12/2021",100,"Airedale Terrier","yellow","blue","L","R",2,1,"no help ","Tipped over the fence during the second manipulation check. ","left","transparent",0.316666667,0,0,0.316666667,0
"38","JellyBean",2,"14","F","17/08/2013","17/12/2021",100,"Airedale Terrier","yellow","blue","R","R",2,1,"no help","","left","opaque",0.433333333,0,0.433333333,0.433333333,1
"39","JellyBean",3,"14","F","17/08/2013","17/12/2021",100,"Airedale Terrier","yellow","blue","R","R",2,1,"no help","","left","opaque",0.65,0,0.65,0.65,1
"40","JellyBean",4,"14","F","17/08/2013","17/12/2021",100,"Airedale Terrier","yellow","blue","L","R",2,1,"no help","","left","transparent",0.566666667,0,0,0.566666667,0
"41","Jessy9",1,"30","F","11/01/2009","02/12/2021",154,"chihuahua","yellow","blue","L","L",1,0,"help","special food. Too small to get the food out of the buckets standing upp. Had to lay them down. ","left","transparent",6.45,3.9,3.9,10.35,0.376811594202899
"42","Jessy9",2,"30","F","11/01/2009","02/12/2021",154,"chihuahua","yellow","blue","R","L",1,0,"help","","left","opaque",0.416666667,6.966666667,0.416666667,7.383333334,0.0564334086179293
"43","Jessy9",3,"30","F","11/01/2009","02/12/2021",154,"chihuahua","yellow","blue","R","L",1,0,"help","","left","opaque",0.216666667,0.316666667,0.216666667,0.533333334,0.406250000117187
"44","Jessy9",4,"30","F","11/01/2009","02/12/2021",154,"chihuahua","yellow","blue","L","L",1,0,"help","","left","transparent",0,0.233333333,0.233333333,0.233333333,1
"45","Joline",1,"32","F","02/05/2017","01/12/2021",54,"Whippet","yellow","yellow","L","L",1,1,"no help","bag fell and made a sound during the manipulation check","right","opaque",2.416666666,2.9,2.416666666,5.316666666,0.454545454477059
"46","Joline",2,"32","F","02/05/2017","01/12/2021",54,"Whippet","yellow","yellow","R","L",1,1,"no help","","right","transparent",3.466666667,4.333333334,4.333333334,7.800000001,0.555555555569801
